episode: 377/1000, score: 8, epsilon: 0.14
episode: 378/1000, score: 7, epsilon: 0.14
episode: 379/1000, score: 9, epsilon: 0.14
episode: 380/1000, score: 9, epsilon: 0.14
episode: 381/1000, score: 8, epsilon: 0.14
episode: 382/1000, score: 9, epsilon: 0.14
episode: 383/1000, score: 8, epsilon: 0.14
episode: 384/1000, score: 9, epsilon: 0.14
episode: 385/1000, score: 8, epsilon: 0.14
episode: 386/1000, score: 8, epsilon: 0.14
episode: 387/1000, score: 8, epsilon: 0.14
episode: 388/1000, score: 8, epsilon: 0.14
episode: 389/1000, score: 8, epsilon: 0.14
episode: 390/1000, score: 9, epsilon: 0.13
episode: 391/1000, score: 8, epsilon: 0.13
episode: 392/1000, score: 8, epsilon: 0.13
episode: 393/1000, score: 8, epsilon: 0.13
episode: 394/1000, score: 9, epsilon: 0.13
episode: 395/1000, score: 7, epsilon: 0.13
episode: 396/1000, score: 9, epsilon: 0.13
episode: 397/1000, score: 8, epsilon: 0.13
episode: 398/1000, score: 9, epsilon: 0.13
episode: 399/1000, score: 8, epsilon: 0.13
episode: 400/1000, score: 7, epsilon: 0.13
episode: 401/1000, score: 9, epsilon: 0.13
episode: 402/1000, score: 9, epsilon: 0.13
episode: 403/1000, score: 8, epsilon: 0.13
episode: 404/1000, score: 8, epsilon: 0.13
episode: 405/1000, score: 7, epsilon: 0.12
episode: 406/1000, score: 8, epsilon: 0.12
episode: 407/1000, score: 7, epsilon: 0.12
episode: 408/1000, score: 9, epsilon: 0.12
episode: 409/1000, score: 9, epsilon: 0.12
episode: 410/1000, score: 9, epsilon: 0.12
episode: 411/1000, score: 8, epsilon: 0.12
episode: 412/1000, score: 7, epsilon: 0.12
episode: 413/1000, score: 9, epsilon: 0.12
episode: 414/1000, score: 8, epsilon: 0.12
episode: 415/1000, score: 8, epsilon: 0.12
episode: 416/1000, score: 9, epsilon: 0.12
episode: 417/1000, score: 9, epsilon: 0.12
episode: 418/1000, score: 7, epsilon: 0.12
episode: 419/1000, score: 8, epsilon: 0.12
episode: 420/1000, score: 8, epsilon: 0.12
episode: 421/1000, score: 8, epsilon: 0.12
episode: 422/1000, score: 8, epsilon: 0.11
episode: 423/1000, score: 9, epsilon: 0.11
episode: 424/1000, score: 8, epsilon: 0.11
episode: 425/1000, score: 9, epsilon: 0.11
episode: 426/1000, score: 8, epsilon: 0.11
episode: 427/1000, score: 8, epsilon: 0.11
episode: 428/1000, score: 8, epsilon: 0.11
episode: 429/1000, score: 9, epsilon: 0.11
episode: 430/1000, score: 9, epsilon: 0.11
episode: 431/1000, score: 9, epsilon: 0.11
episode: 432/1000, score: 10, epsilon: 0.11
episode: 433/1000, score: 9, epsilon: 0.11
episode: 434/1000, score: 8, epsilon: 0.11
episode: 435/1000, score: 7, epsilon: 0.11
episode: 436/1000, score: 9, epsilon: 0.11
episode: 437/1000, score: 7, epsilon: 0.11
episode: 438/1000, score: 8, epsilon: 0.11
episode: 439/1000, score: 8, epsilon: 0.11
episode: 440/1000, score: 8, epsilon: 0.1
episode: 441/1000, score: 9, epsilon: 0.1
episode: 442/1000, score: 9, epsilon: 0.1
episode: 443/1000, score: 7, epsilon: 0.1
episode: 444/1000, score: 9, epsilon: 0.1
episode: 445/1000, score: 8, epsilon: 0.1
episode: 446/1000, score: 7, epsilon: 0.1
episode: 447/1000, score: 8, epsilon: 0.1
episode: 448/1000, score: 9, epsilon: 0.1
episode: 449/1000, score: 8, epsilon: 0.1
episode: 450/1000, score: 9, epsilon: 0.1
episode: 451/1000, score: 7, epsilon: 0.099
episode: 452/1000, score: 9, epsilon: 0.099
episode: 453/1000, score: 9, epsilon: 0.098
episode: 454/1000, score: 9, epsilon: 0.098
episode: 455/1000, score: 7, epsilon: 0.097
episode: 456/1000, score: 7, epsilon: 0.097
episode: 457/1000, score: 9, epsilon: 0.096
episode: 458/1000, score: 8, epsilon: 0.096
episode: 459/1000, score: 8, epsilon: 0.095
episode: 460/1000, score: 9, epsilon: 0.095
episode: 461/1000, score: 7, epsilon: 0.094
episode: 462/1000, score: 7, epsilon: 0.094
episode: 463/1000, score: 9, epsilon: 0.093
episode: 464/1000, score: 7, epsilon: 0.093
episode: 465/1000, score: 8, epsilon: 0.092
episode: 466/1000, score: 8, epsilon: 0.092
episode: 467/1000, score: 8, epsilon: 0.092
episode: 468/1000, score: 8, epsilon: 0.091
episode: 469/1000, score: 9, epsilon: 0.091
episode: 470/1000, score: 7, epsilon: 0.09
episode: 471/1000, score: 10, epsilon: 0.09
episode: 472/1000, score: 8, epsilon: 0.089
episode: 473/1000, score: 9, epsilon: 0.089
episode: 474/1000, score: 9, epsilon: 0.088
episode: 475/1000, score: 8, epsilon: 0.088
episode: 476/1000, score: 9, epsilon: 0.088
episode: 477/1000, score: 7, epsilon: 0.087
